"id","name","region","code","state_id","country_id","active","is_pol"
"port_1","Dumai","KALBAR","GRK","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_2","Gresik","KALBAR","NNK","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_3","Batam","KALBAR","BTM","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_4","Belawan","KALBAR","BLW","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_5","Marunda","KALBAR","MAR","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_6","Kijing","KALBAR","KIJ","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_7","Nunukan","KALTARA","NNK","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_8","Bontang","KALTARA","BTG","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_9","Bitung","KALTARA","BIT","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_10","Tarjun","KALTIM","TAR","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_11","Balikpapan","KALTIM","BLK","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_12","Bagendang","KALTIM","BGD","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_13","Serang","KALTIM","SRG","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_14","Melak","KALTIM","MLK","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_15","Tg. Perak (Sby)","KALTIM","TGP","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_16","Dumai (Lubuk Gaung)","RIAU","DMI","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_17","Tembilahan","RIAU","TBL","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_18","Jakarta/Banten","RIAU","JKT","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_19","Dumai (Pelintung)","RIAU","PLT","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_20","Smrg/Sby/Jkt/Mrd","RIAU","SMG","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_21","BBS/MCA","RIAU","BBS","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_22","PUL","RIAU","PUL","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_23","Tenggarong","RIAU","TGG","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_24","DS","RIAU","DS","Kalimantan Barat","Indonesia","TRUE","TRUE"
"port_25","KAM","RIAU","KAM","Kalimantan Barat","Indonesia","TRUE","TRUE"
